ObjectID,GlobalID,Date,Recorded By,site,Distance Between Transects,CreationDate,Creator,EditDate,Editor,x,y
2,3bb0fa67-0fe8-4aff-8de6-ed9fc45a8fdb,4/30/2024 6:00:00 PM,"Michelle_DePrenger-Levin,Lee",11,20,5/1/2024 12:42:15 AM,MichelleDPL,5/1/2024 12:42:15 AM,MichelleDPL,-108.309666,39.3444561666667
3,150db5ac-1025-43d1-8a67-321bb9895e0f,4/30/2024 6:00:00 PM,,,,5/1/2024 12:42:17 AM,MichelleDPL,5/1/2024 12:42:17 AM,MichelleDPL,-108.309882333333,39.3448718333333
4,3311f5f3-8785-4f80-a42a-049d98b9359d,4/30/2024 6:00:00 PM,"Geena,Dave,Michelle_DePrenger-Levin",11,20,5/1/2024 12:43:29 AM,MichelleDPL,5/1/2024 12:43:29 AM,MichelleDPL,-108.30979,39.344371
5,7d76847e-c5b4-423b-9d59-7c4afe45aaac,4/30/2024 6:00:00 PM,"Dave,Geena",11,20,5/1/2024 12:43:30 AM,MichelleDPL,5/1/2024 12:43:30 AM,MichelleDPL,-108.309720666667,39.3444016666667
6,dcd85924-1a1a-4dbd-918d-407aba8fceb8,4/30/2024 6:00:00 PM,Jonathan,11,20,5/1/2024 12:43:42 AM,MichelleDPL,5/1/2024 12:43:42 AM,MichelleDPL,-108.309578166667,39.3446315
7,0e68e7c3-18d2-4ae0-93d5-f29f170c9c2f,4/30/2024 6:00:00 PM,Jonathan,11,20,5/1/2024 12:43:42 AM,MichelleDPL,5/1/2024 12:43:42 AM,MichelleDPL,-108.310079166667,39.3443668333333
8,ed9495bd-3013-492f-8b98-9c090da1c2d3,5/1/2024 6:00:00 PM,Jonathan,3,10,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.3284255,38.6700495
9,3eb2a1d0-d40c-4dbf-a6e1-5a3692ceab38,5/1/2024 6:00:00 PM,Jonathan,1,10,5/2/2024 2:01:00 AM,MichelleDPL,5/2/2024 2:01:00 AM,MichelleDPL,-108.328709166667,38.6701111666667
10,60ac07f3-beaa-43df-81b4-50c191fed87d,5/1/2024 6:00:00 PM,"Geena,Richard_Levy",3,10,5/2/2024 2:01:03 AM,MichelleDPL,5/2/2024 2:01:03 AM,MichelleDPL,-108.328449666667,38.6700218333333
11,faf31afd-ec38-4ac1-8232-04e8b6363b4e,5/1/2024 6:00:00 PM,"Geena,Richard_Levy",3,10,5/2/2024 2:01:04 AM,MichelleDPL,5/2/2024 2:01:04 AM,MichelleDPL,-108.328481,38.6703125
