ObjectID,GlobalID,Transect Meter Mark,Direction To Group,Distance To Group,Number Seedlings In Group,Number Vegetative In Group,Number Reproductive In Group,siteName,distBetweenTransects,eventDate,recordedBy,transectNumber_,transectOrientation,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
5,b88da206-30b3-47a4-b8bd-40d106a18bbd,21.89,+,1.23,0,3,1,11,20,1714500000000,,2,NS,957ebb91-2e35-4bc5-bcf9-53da2d5a01d1,5/1/2024 12:42:16 AM,MichelleDPL,5/1/2024 12:42:16 AM,MichelleDPL,-108.309982543011,39.3445431048387
6,7cf98f23-5c5f-4e4e-a995-36485d656410,,,,,,,11,20,1714500000000,,2,NS,957ebb91-2e35-4bc5-bcf9-53da2d5a01d1,5/1/2024 12:42:16 AM,MichelleDPL,5/1/2024 12:42:16 AM,MichelleDPL,0,0
7,b12a79ff-0268-47b1-9da2-9e030503d88e,,,,,,,,,1714500000000,,,,60f005f0-7553-436b-8f20-d671932a1f02,5/1/2024 12:42:17 AM,MichelleDPL,5/1/2024 12:42:17 AM,MichelleDPL,-108.309872,39.3448733333333
8,102633f0-31e9-4a6b-90a5-b601026b78bb,9.8,+,2.78,0,1,0,11,20,1714500000000,,1,EW,cbcb693d-1b82-4f1a-a699-5a1b7caf9e64,5/1/2024 12:43:29 AM,MichelleDPL,5/1/2024 12:43:29 AM,MichelleDPL,-108.309645533333,39.3444965833333
9,71663c08-a26f-43af-b5c4-2dd07d869185,38.67,+,1.6,0,4,1,11,20,1714500000000,,1,EW,bf03eb41-8957-42de-bc97-94546b9565a6,5/1/2024 12:43:29 AM,MichelleDPL,5/1/2024 12:43:29 AM,MichelleDPL,-108.309963366667,39.3445470166667
10,c3b8e8d9-913c-440e-bbf8-a5478c8b37b6,54.86,+,1.12,0,1,1,11,20,1714500000000,,1,EW,23714ba4-92d0-47d4-b163-826b63758426,5/1/2024 12:43:29 AM,MichelleDPL,5/1/2024 12:43:29 AM,MichelleDPL,-108.310158966667,39.3445679
11,7ead3677-bebb-4b19-8d34-bb0d8f1590c0,55.9,+,1.4,0,1,1,11,20,1714500000000,,1,EW,5af035b2-a8b6-41ad-94e8-2000cf15c1c3,5/1/2024 12:43:29 AM,MichelleDPL,5/1/2024 12:43:29 AM,MichelleDPL,-108.310169333333,39.3445835
12,c8654c5d-af08-405f-b922-fe1004e9ac7c,3.57,-,0.64,0,1,1,11,20,1714500000000,,21,EW,0f7ed122-92b1-4fba-81f0-21b6b09dafec,5/1/2024 12:43:30 AM,MichelleDPL,5/1/2024 12:43:30 AM,MichelleDPL,-108.309533716667,39.3446340333333
13,cade5093-2af6-44e9-a798-ef7905eaaafe,9.57,+,0.17,0,1,1,11,20,1714500000000,,21,EW,d4d0410f-34ef-4338-93c8-80d4b249d80e,5/1/2024 12:43:30 AM,MichelleDPL,5/1/2024 12:43:30 AM,MichelleDPL,-108.309590477778,39.3446512
14,874d2f71-93b5-4510-916f-38041399f332,8.27,-,1,0,0,1,11,20,1714500000000,,2,EW,e0530891-27b6-459c-a682-d318588a0a8a,5/1/2024 12:43:42 AM,MichelleDPL,5/1/2024 12:43:42 AM,MichelleDPL,-108.309588833333,39.344639
