ObjectID,GlobalID,Always walk South to North or East to West,Transect Number,Transect Direction,Transect Length,ParentGlobalID,CreationDate,Creator,EditDate,Editor
2,957ebb91-2e35-4bc5-bcf9-53da2d5a01d1,,2,NS,60,3bb0fa67-0fe8-4aff-8de6-ed9fc45a8fdb,5/1/2024 12:42:16 AM,MichelleDPL,5/1/2024 12:42:16 AM,MichelleDPL
3,60f005f0-7553-436b-8f20-d671932a1f02,,,,,150db5ac-1025-43d1-8a67-321bb9895e0f,5/1/2024 12:42:17 AM,MichelleDPL,5/1/2024 12:42:17 AM,MichelleDPL
4,cbcb693d-1b82-4f1a-a699-5a1b7caf9e64,,1,EW,60,3311f5f3-8785-4f80-a42a-049d98b9359d,5/1/2024 12:43:29 AM,MichelleDPL,5/1/2024 12:43:29 AM,MichelleDPL
5,bf03eb41-8957-42de-bc97-94546b9565a6,,1,EW,60,3311f5f3-8785-4f80-a42a-049d98b9359d,5/1/2024 12:43:29 AM,MichelleDPL,5/1/2024 12:43:29 AM,MichelleDPL
6,23714ba4-92d0-47d4-b163-826b63758426,,1,EW,,3311f5f3-8785-4f80-a42a-049d98b9359d,5/1/2024 12:43:29 AM,MichelleDPL,5/1/2024 12:43:29 AM,MichelleDPL
7,5af035b2-a8b6-41ad-94e8-2000cf15c1c3,,1,EW,,3311f5f3-8785-4f80-a42a-049d98b9359d,5/1/2024 12:43:29 AM,MichelleDPL,5/1/2024 12:43:29 AM,MichelleDPL
8,0f7ed122-92b1-4fba-81f0-21b6b09dafec,,21,EW,60,7d76847e-c5b4-423b-9d59-7c4afe45aaac,5/1/2024 12:43:30 AM,MichelleDPL,5/1/2024 12:43:30 AM,MichelleDPL
9,d4d0410f-34ef-4338-93c8-80d4b249d80e,,21,EW,60,7d76847e-c5b4-423b-9d59-7c4afe45aaac,5/1/2024 12:43:30 AM,MichelleDPL,5/1/2024 12:43:30 AM,MichelleDPL
10,e0530891-27b6-459c-a682-d318588a0a8a,,2,EW,60,dcd85924-1a1a-4dbd-918d-407aba8fceb8,5/1/2024 12:43:42 AM,MichelleDPL,5/1/2024 12:43:42 AM,MichelleDPL
11,eb06e28b-e0aa-49d7-8b16-dff5883bc517,,21,NS,60,0e68e7c3-18d2-4ae0-93d5-f29f170c9c2f,5/1/2024 12:43:42 AM,MichelleDPL,5/1/2024 12:43:42 AM,MichelleDPL
12,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,,1,NS,40,ed9495bd-3013-492f-8b98-9c090da1c2d3,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL
13,f7e2ec6e-3487-4943-903c-d2caacc08a4e,,4,EW,50,ed9495bd-3013-492f-8b98-9c090da1c2d3,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL
14,72d8a244-bd42-4b83-b946-7f9e19d9f3c7,,1,EW,,3eb2a1d0-d40c-4dbf-a6e1-5a3692ceab38,5/2/2024 2:01:00 AM,MichelleDPL,5/2/2024 2:01:00 AM,MichelleDPL
15,862e99e6-6056-46ce-aeb7-9f166db91a6d,,3,NS,50,60ac07f3-beaa-43df-81b4-50c191fed87d,5/2/2024 2:01:03 AM,MichelleDPL,5/2/2024 2:01:03 AM,MichelleDPL
16,7e045b7d-b67c-442b-8cd9-e7811c60e29d,,3,EW,60,faf31afd-ec38-4ac1-8232-04e8b6363b4e,5/2/2024 2:01:04 AM,MichelleDPL,5/2/2024 2:01:04 AM,MichelleDPL
17,d4afe552-8906-41bb-aa10-f61871b99a0b,,2,EW,23,de13236d-872c-4d5a-b0f5-13d384f29bc8,5/2/2024 2:01:05 AM,MichelleDPL,5/2/2024 2:01:05 AM,MichelleDPL
